curve_index,ki,kr,omega_r,omega_i
1,0.0,0.05,0.00550673768183885,0.012674457140507037
1,0.0,0.0810126582278481,0.009058800698677106,0.020730990968817625
1,0.0,0.11202531645569622,0.01280105970269043,0.02905257333911433
1,0.0,0.14303797468354432,0.016799514809302682,0.03771909038036245
1,0.0,0.17405063291139242,0.02111403808986088,0.046792941475454104
1,0.0,0.20506329113924054,0.025797247681846897,0.05631792585150223
1,0.0,0.23607594936708864,0.030893740605669726,0.066319725116659
1,0.0,0.26708860759493674,0.03643969986478508,0.0768075834212188
1,0.0,0.29810126582278484,0.042462861181299445,0.08777673305332977
1,0.0,0.32911392405063294,0.29160619313534214,0.10209353783484375
1,0.0,0.36012658227848104,0.3142029146911461,0.11720652030490017
1,0.0,0.39113924050632914,0.33615910619123796,0.1325690392623621
1,0.0,0.42215189873417724,0.3575377910625148,0.14811175989467476
1,0.0,0.45316455696202534,0.3783937054604096,0.16378275718768381
1,0.0,0.48417721518987344,0.39877350793356997,0.1795432885733531
1,0.0,0.5151898734177216,0.41871655763030097,0.19536439461695287
1,0.0,0.5462025316455696,0.4382559372102825,0.21122426238718003
1,0.0,0.5772151898734178,0.457419519261721,0.2271062356790508
1,0.0,0.608227848101266,0.4762309633059477,0.24299734589541727
1,0.0,0.639240506329114,0.49471058950544466,0.2588872472304154
1,0.0,0.6702531645569622,0.5128761113150326,0.2747674572747788
1,0.0,0.7012658227848102,0.5307432302045962,0.2906308236968064
1,0.0,0.7322784810126584,0.5483261060124154,0.306471155256048
1,0.0,0.7632911392405064,0.5656377207722171,0.3222829704002823
1,0.0,0.7943037974683546,0.5826901544993811,0.3380613287021485
1,0.0,0.8253164556962026,0.5994947901906409,0.35380171968491
1,0.0,0.8563291139240508,0.6160624631000919,0.3694999907834962
1,0.0,0.8873417721518988,0.6324035671300814,0.385152301253604
1,0.0,0.918354430379747,0.6485281286813975,0.4007550929861662
1,0.0,0.949367088607595,0.6644458563729826,0.41630507183229193
1,0.0,0.9803797468354432,0.680166173207025,0.43179919514970366
1,0.0,1.0113924050632912,0.6956982362484827,0.4472346627466624
1,0.0,1.0424050632911392,0.7110509476963834,0.4626089093606799
1,0.0,1.0734177215189875,0.7262329602653055,0.47791959758643043
1,0.0,1.1044303797468356,0.7412526789980542,0.49316461059063676
1,0.0,1.1354430379746836,0.7561182610659366,0.5083420443067916
1,0.0,1.1664556962025319,0.7708376146459504,0.5234501989929008
1,0.0,1.19746835443038,0.7854183976184005,0.5384875701727665
1,0.0,1.228481012658228,0.7998680165767494,0.5534528390474953
1,0.0,1.259493670886076,0.8141936264490259,0.5683448625073246
1,0.0,1.2905063291139243,0.8284021308916321,0.5831626628817508
1,0.0,1.3215189873417723,0.8425001835266179,0.5979054175686411
1,0.0,1.3525316455696204,0.8564941900189549,0.6125724486695312
1,0.0,1.3835443037974684,0.8703903109552705,0.6271632127428887
1,0.0,1.4145569620253167,0.8841944654481989,0.641677290769461
1,0.0,1.4455696202531647,0.897912335397072,0.6561143784094596
1,0.0,1.4765822784810128,0.9115493702918022,0.6704742766088552
1,0.0,1.5075949367088608,0.9251107924867253,0.684756882602902
1,0.0,1.538607594936709,0.9386016028544534,0.6989621813450192
1,0.0,1.569620253164557,0.952026586728453,0.7130902373844853
1,0.0,1.6006329113924052,0.9653903200721907,0.7271411872033818
1,0.0,1.6316455696202534,0.9786971757976499,0.7411152320132552
1,0.0,1.6626582278481015,0.9919513301827927,0.7550126310086602
1,0.0,1.6936708860759495,1.005156769331388,0.7688336950695828
1,0.0,1.7246835443037976,1.0183172956341706,0.78257878090045
1,0.0,1.7556962025316458,1.03143653419471,0.7962482855868624
1,0.0,1.7867088607594939,1.0445179391869663,0.8098426415578763
1,0.0,1.817721518987342,1.05756480012346,0.8233623119290358
1,0.0,1.84873417721519,1.0705802480078297,0.8368077862115498
1,0.0,1.8797468354430382,1.083567261360198,0.8501795763631776
1,0.0,1.9107594936708863,1.09652867210103,0.8634782131647579
1,0.0,1.9417721518987343,1.1094671712823336,0.876704242898383
1,0.0,1.9727848101265824,1.122385314661103,0.8898582243122579
1,0.0,2.0037974683544304,1.1352855281110623,0.902940725847633
1,0.0,2.0348101265822787,1.1481701128804906,0.9159523231199631
1,0.0,2.0658227848101265,1.161041250611255,0.9288935966094148
1,0.0,2.0968354430379748,1.1739010083445973,0.9417651296202558
1,0.0,2.1278481012658226,1.1867513431998766,0.9545675063573449
1,0.0,2.158860759493671,1.1995941069679368,0.9673013102454296
1,0.0,2.189873417721519,1.212431050532238,0.9799671224036267
1,0.0,2.220886075949367,1.225263828118223,0.9925655202755878
1,0.0,2.251898734177215,1.2380940014217339,1.0050970764021756
1,0.0,2.2829113924050635,1.2509230435364398,1.0175623573284691
1,0.0,2.3139240506329113,1.2637523427758597,1.029961922640126
1,0.0,2.3449367088607596,1.2765832063296065,1.0422963240960603
1,0.0,2.3759493670886074,1.289416863785728,1.0545661048863375
1,0.0,2.4069620253164556,1.3022544705217796,1.0667717989698629
1,0.0,2.437974683544304,1.3150971109640586,1.0789139305079078
1,0.0,2.4689873417721517,1.3279458017165486,1.0909930133734502
1,0.0,2.5,1.340801494577175,1.1030095507339703
2,-0.2,0.05,-0.010639387736675186,0.042429134868451304
2,-0.2,0.0810126582278481,-0.017235895934412687,0.04241061872277844
2,-0.2,0.11202531645569622,-0.023828730900900322,0.04238342265500019
2,-0.2,0.14303797468354432,-0.03041652725653421,0.042347624738037104
