x_mean,Im_omega_star,Ny,alpha_star,omega_star,classification,note
0.6,0.019467862027661147,501,+2.62660489e+00-3.97478358e+00j,+7.60292725e-01+1.94678620e-02j,absolute,success=True fnorm=1.54e-11 The solution converged.
0.9000000000000001,0.20418843554574215,501,+1.45320850e+00-1.36512029e+00j,+1.42285518e+00+2.04188436e-01j,absolute,success=True fnorm=2.18e-11 The solution converged.
1.2,0.5002224577469152,501,+1.91656700e+00-1.33696859e+00j,+1.42740897e+00+5.00222458e-01j,absolute,success=True fnorm=1.79e-11 The solution converged.
1.5,0.39880676688337796,501,+1.96533865e+00-1.04175319e+00j,+1.29656165e+00+3.98806767e-01j,absolute,success=True fnorm=6.63e-12 The solution converged.
1.8000000000000003,0.07148231017441325,501,+2.24275261e+00-1.78688002e+00j,+1.34833702e+00+7.14823102e-02j,absolute,success=True fnorm=4.12e-12 The solution converged.
2.1000000000000005,-0.4824652461124309,501,+8.03740816e-01-2.20445650e+00j,+1.20872601e+00-4.82465246e-01j,convective,success=True fnorm=8.01e-12 The solution converged.
2.4,1.891461186185515,501,+4.72659943e+00+4.26078451e+00j,+2.36734534e+00+1.89146119e+00j,absolute,success=True fnorm=1.83e-10 The solution converged.
2.7,3.4417360138592086,501,-3.49812806e+00+6.29306872e+00j,-2.05603314e+00+3.44173601e+00j,absolute,success=True fnorm=2.57e-10 The solution converged.
3.0,0.9131018502764588,501,+2.94320855e-01+1.54486853e+00j,+6.56695401e-01+9.13101850e-01j,absolute,success=True fnorm=3.33e-11 The solution converged.
