curve_index,ki,kr,omega_r,omega_i
1,0.0,0.02,0.019617508694381103,-0.0027266053109128575
1,0.0,0.0243687374749499,0.023803292044929068,-0.003651495772644105
1,0.0,0.0287374749498998,0.027954428465187888,-0.004656323777948918
1,0.0,0.0331062124248497,0.03207136183849038,-0.0057330871422894445
1,0.0,0.0374749498997996,0.03615453100890088,-0.006875352192367123
1,0.0,0.0418436873747495,0.040204369834799865,-0.008077786494760182
1,0.0,0.046212424849699396,0.04422130724190776,-0.009335867878868588
1,0.0,0.0505811623246493,0.048205767275772485,-0.010645692226580078
1,0.0,0.0549498997995992,0.05215816915372017,-0.012003840508485963
1,0.0,0.0593186372745491,0.05607892731627526,-0.013407283363180653
1,0.0,0.063687374749499,0.05996845147804853,-0.014853310530995412
1,0.0,0.0680561122244489,0.06382714667813057,-0.01633947733787888
1,0.0,0.0724248496993988,0.06765541332992976,-0.01786356322777574
1,0.0,0.0767935871743487,0.07145364727053799,-0.019423539062968773
1,0.0,0.0811623246492986,0.07522223980957234,-0.021017540892542885
1,0.0,0.0855310621242485,0.07896157777751765,-0.022643848645119955
1,0.0,0.0898997995991984,0.08267204357358779,-0.02430086857960455
1,0.0,0.0942685370741483,0.08635401521307308,-0.025987118698452872
1,0.0,0.0986372745490982,0.0900078663742352,-0.027701216473931447
1,0.0,0.1030060120240481,0.09363396644468917,-0.029441868461865296
1,0.0,0.107374749498998,0.09723268056733107,-0.031207861408370802
1,0.0,0.1117434869739479,0.10080436968579043,-0.032998054603105176
1,0.0,0.11611222444889781,0.10434939058941405,-0.034811373253387026
1,0.0,0.1204809619238477,0.10786809595779165,-0.0366468026979042
1,0.0,0.1248496993987976,0.11136083440482053,-0.03850338333879225
1,0.0,0.12921843687374748,0.11482795052232328,-0.040380206174092714
1,0.0,0.13358717434869738,0.11826978492321359,-0.04227640883551785
1,0.0,0.1379559118236473,0.12168667428422336,-0.044191172066634
1,0.0,0.1423246492985972,0.12507895138818834,-0.04612371657236962
1,0.0,0.1466933867735471,0.12844694516589716,-0.04807330019669783
1,0.0,0.151062124248497,0.13179098073751544,-0.0500392153766039
1,0.0,0.1554308617234469,0.13511137945358279,-0.0520207868445116
1,0.0,0.15979959919839679,0.1384084589355816,-0.05401736954471724
1,0.0,0.16416833667334668,0.1416825331161007,-0.0560283467379395
1,0.0,0.16853707414829658,0.14493391227857438,-0.05805312827554944
1,0.0,0.17290581162324647,0.14816290309662075,-0.060091149018853346
1,0.0,0.17727454909819637,0.15136980867296834,-0.062141867389558264
1,0.0,0.1816432865731463,0.15455492857798936,-0.0642047640407031
1,0.0,0.1860120240480962,0.1577185588878292,-0.06627934063117824
1,0.0,0.1903807615230461,0.16086099222214584,-0.06836511869267059
1,0.0,0.19474949899799598,0.16398251778145942,-0.07046163858362281
1,0.0,0.19911823647294588,0.16708342138412074,-0.07256845851961806
1,0.0,0.20348697394789578,0.17016398550289008,-0.07468515367183004
1,0.0,0.20785571142284567,0.1732244893011487,-0.07681131532947193
1,0.0,0.2122244488977956,0.17626520866872947,-0.07894655011806453
1,0.0,0.2165931863727455,0.17928641625738073,-0.08109047927130526
1,0.0,0.2209619238476954,0.1822883815158576,-0.0832427379491638
1,0.0,0.2253306613226453,0.18527137072466543,-0.08540297460055987
1,0.0,0.22969939879759518,0.18823564703042758,-0.08757085036363382
1,0.0,0.23406813627254508,0.1911814704799064,-0.08974603850553743
1,0.0,0.23843687374749498,0.19410909805367593,-0.09192822389385073
1,0.0,0.24280561122244487,0.1970187836994314,-0.09411710250021736
1,0.0,0.24717434869739477,0.19991077836497667,-0.0963123809301633
1,0.0,0.2515430861723447,0.202785330030846,-0.09851377598330176
1,0.0,0.2559118236472946,0.20564268374260794,-0.10072101423425053
1,0.0,0.2602805611222445,0.20848308164282559,-0.10293383163939931
1,0.0,0.2646492985971944,0.21130676300267887,-0.10515197316087573
1,0.0,0.2690180360721443,0.21411396425327694,-0.10737519241529295
1,0.0,0.27338677354709423,0.21690491901662493,-0.10960325133575911
1,0.0,0.2777555110220441,0.21967985813629193,-0.111835919854305
1,0.0,0.282124248496994,0.22243900970774014,-0.11407297559880382
1,0.0,0.2864929859719439,0.22518259910834923,-0.11631420360389252
1,0.0,0.2908617234468938,0.22791084902712805,-0.11855939603924617
1,0.0,0.2952304609218437,0.23062397949412372,-0.12080835194575854
1,0.0,0.2995991983967936,0.2333222079095093,-0.1230608769887493
1,0.0,0.30396793587174353,0.23600574907238245,-0.1253167832193533
1,0.0,0.3083366733466934,0.238674815209262,-0.12757588884866758
1,0.0,0.3127054108216433,0.24132961600228797,-0.12983801803076428
1,0.0,0.3170741482965932,0.24397035861712343,-0.1321030006563259
1,0.0,0.3214428857715431,0.24659724773057037,-0.1343706721540735
1,0.0,0.325811623246493,0.24921048555790126,-0.13664087330220168
1,0.0,0.3301803607214429,0.25181027187989646,-0.1389134500459528
1,0.0,0.3345490981963928,0.2543968040696086,-0.1411882533249553
1,0.0,0.3389178356713427,0.2569702771188445,-0.14346513890572438
1,0.0,0.34328657314629263,0.25953088366437016,-0.14574396722223792
1,0.0,0.3476553106212425,0.2620788140138446,-0.1480246032224586
1,0.0,0.3520240480961924,0.26461425617148143,-0.15030691622111114
1,0.0,0.3563927855711423,0.267137395863441,-0.15259077975775007
1,0.0,0.3607615230460922,0.26964841656296407,-0.15487607146138993
1,0.0,0.3651302605210421,0.27214749951523365,-0.1571626729192912
1,0.0,0.369498997995992,0.2746348237619839,-0.1594504695512762
1,0.0,0.37386773547094193,0.2771105661658481,-0.16173935048843568
1,0.0,0.3782364729458918,0.27957490143445735,-0.16402920845666577
1,0.0,0.3826052104208417,0.2820280021442761,-0.16631993966462533
1,0.0,0.3869739478957916,0.2844700387642015,-0.16861144369504616
1,0.0,0.3913426853707415,0.2869011796789071,-0.17090362340036866
1,0.0,0.3957114228456914,0.28932159121194473,-0.17319638480282273
1,0.0,0.4000801603206413,0.2917314376486034,-0.17548963699657566
1,0.0,0.40444889779559123,0.2941308812585294,-0.17778329205457702
1,0.0,0.4088176352705411,0.2965200823181083,-0.18007726493808981
1,0.0,0.413186372745491,0.29889919913261775,-0.18237147340881416
1,0.0,0.4175551102204409,0.3012683880581336,-0.1846658379455688
1,0.0,0.4219238476953908,0.30362780352322466,-0.18696028166216028
1,0.0,0.4262925851703407,0.3059775980504043,-0.1892547302286585
1,0.0,0.4306613226452906,0.30831792227736754,-0.19154911179521597
1,0.0,0.4350300601202405,0.31064892497799423,-0.1938433569189952
1,0.0,0.4393987975951904,0.3129707530831433,-0.1961373984921402
1,0.0,0.44376753507014033,0.31528355170121736,-0.19843117167367774
1,0.0,0.4481362725450902,0.31758746413851885,-0.20072461382204446
1,0.0,0.4525050100200401,0.31988263191939004,-0.20301766443105634
1,0.0,0.45687374749499,0.32216919480613465,-0.20531026506745298
1,0.0,0.4612424849699399,0.3244472908187392,-0.20760235930985704
1,0.0,0.4656112224448898,0.32671705625438296,-0.20989389269044148
1,0.0,0.4699799599198397,0.328978625706735,-0.21218481263845146
1,0.0,0.4743486973947896,0.3312321320850628,-0.21447506842440753
1,0.0,0.4787174348697395,0.3334777066331211,-0.2167646111073247
1,0.0,0.4830861723446894,0.33571547894785964,-0.2190533934825314
1,0.0,0.4874549098196393,0.3379455769979175,-0.22134137003187793
1,0.0,0.4918236472945892,0.34016812714193234,-0.22362849687501363
1,0.0,0.4961923847695391,0.3423832541466517,-0.22591473172178286
1,0.0,0.500561122244489,0.3445910812048546,-0.22820003382674642
1,0.0,0.5049298597194388,0.346791729953082,-0.23048436394486777
1,0.0,0.5092985971943887,0.34898532048918096,-0.23276768428803568
1,0.0,0.5136673346693387,0.3511719713896625,-0.23504995848350083
1,0.0,0.5180360721442886,0.35335179972687353,-0.2373311515328593
1,0.0,0.5224048096192385,0.35552492108599326,-0.23961122977308588
1,0.0,0.5267735470941884,0.35769144958184257,-0.24189016083780016
1,0.0,0.5311422845691383,0.3598514978755153,-0.244167913620259
1,0.0,0.5355110220440882,0.3620051771908415,-0.24644445823691782
1,0.0,0.5398797595190381,0.3641525973306651,-0.24871976599287376
1,0.0,0.544248496993988,0.3662938666929538,-0.25099380934703125
1,0.0,0.548617234468938,0.36842909228674026,-0.25326656187964597
1,0.0,0.5529859719438878,0.3705583797478906,-0.25553799825933343
1,0.0,0.5573547094188377,0.37268183335470406,-0.25780809421248174
1,0.0,0.5617234468937876,0.3747995560433491,-0.26007682649235336
1,0.0,0.5660921843687375,0.37691164942313615,-0.2623441728497143
1,0.0,0.5704609218436874,0.3790182137916255,-0.2646101120038818
1,0.0,0.5748296593186373,0.38111934814957393,-0.26687462361479214
1,0.0,0.5791983967935872,0.38321515021572944,-0.2691376882560044
1,0.0,0.5835671342685371,0.3853057164414484,-0.27139928738780505
1,0.0,0.587935871743487,0.3873911420251886,-0.27365940333215927
1,0.0,0.5923046092184369,0.3894715209268121,-0.2759180192468045
1,0.0,0.5966733466933868,0.3915469458817662,-0.2781751191017598
1,0.0,0.6010420841683367,0.39361750841509463,-0.28043068765503365
1,0.0,0.6054108216432866,0.395683298855302,-0.28268471042986826
1,0.0,0.6097795591182364,0.3977444063480731,-0.28493717369235677
1,0.0,0.6141482965931864,0.3998009188698503,-0.2871880644293981
1,0.0,0.6185170340681363,0.40185292324124955,-0.28943737032772615
1,0.0,0.6228857715430862,0.4039005051403538,-0.2916850797531155
1,0.0,0.6272545090180361,0.4059437491158461,-0.2939311817303962
1,0.0,0.631623246492986,0.40798273860001305,-0.29617566592364103
1,0.0,0.6359919839679359,0.4100175559216023,-0.29841852261758084
1,0.0,0.6403607214428858,0.4120482823185472,-0.3006597426986994
1,0.0,0.6447294589178357,0.41407499795055536,-0.3028993176372067
1,0.0,0.6490981963927855,0.4160977819115519,-0.30513723946971616
1,0.0,0.6534669338677355,0.4181167122420051,-0.30737350078208786
1,0.0,0.6578356713426854,0.42013186594110635,-0.30960809469265593
1,0.0,0.6622044088176353,0.42214331897882396,-0.3118410148361056
1,0.0,0.6665731462925852,0.4241511463078302,-0.3140722553479163
1,0.0,0.670941883767535,0.426155421875295,-0.3163018108486414
1,0.0,0.675310621242485,0.4281562186345562,-0.31852967642935187
1,0.0,0.6796793587174349,0.430153608556664,-0.3207558476367479
1,0.0,0.6840480961923848,0.43214766264179605,-0.3229803204592382
1,0.0,0.6884168336673347,0.43413845093055703,-0.32520309131315034
1,0.0,0.6927855711422846,0.43612604251515275,-0.3274241570290881
1,0.0,0.6971543086172345,0.4381105055504403,-0.329643514839205
1,0.0,0.7015230460921844,0.44009190726486613,-0.3318611623641189
1,0.0,0.7058917835671343,0.4420703139712775,-0.33407709760075394
1,0.0,0.7102605210420841,0.4440457910776297,-0.33629131891032293
1,0.0,0.7146292585170341,0.4460184030975591,-0.3385038250063042
1,0.0,0.718997995991984,0.44798821366085934,-0.34071461494332195
1,0.0,0.7233667334669339,0.4499552855238381,-0.34292368810580187
1,0.0,0.7277354709418838,0.45191968057955334,-0.34513104419722207
1,0.0,0.7321042084168337,0.4538814598679539,-0.34733668322960304
1,0.0,0.7364729458917836,0.4558406835858966,-0.349540605513061
1,0.0,0.7408416833667335,0.4577974110970628,-0.3517428116459578
1,0.0,0.7452104208416834,0.45975170094176737,-0.35394330250518374
1,0.0,0.7495791583166332,0.46170361084665196,-0.35614207923653285
1,0.0,0.7539478957915832,0.4636531977342863,-0.3583391432454925
1,0.0,0.7583166332665331,0.4656005177326563,-0.36053449618840844
1,0.0,0.762685370741483,0.46754562618455103,-0.3627281399636362
1,0.0,0.7670541082164329,0.4694885776568471,-0.36492007670290555
1,0.0,0.7714228456913828,0.47142942594969295,-0.3671103087632014
1,0.0,0.7757915831663327,0.4733682241055965,-0.36929883871861546
1,0.0,0.7801603206412826,0.475305024418405,-0.37148566935263944
1,0.0,0.7845290581162325,0.4772398784421946,-0.37367080365013744
1,0.0,0.7888977955911824,0.479172837000062,-0.37585424479028157
1,0.0,0.7932665330661323,0.48110395019281443,-0.37803599613917005
1,0.0,0.7976352705410822,0.4830332674075748,-0.38021606124272556
1,0.0,0.8020040080160321,0.4849608373262801,-0.3823944438199574
1,0.0,0.806372745490982,0.4868867079341015,-0.38457114775609363
1,0.0,0.8107414829659318,0.4888109265277579,-0.38674617709627407
1,0.0,0.8151102204408818,0.49073353972374884,-0.3889195360391327
1,0.0,0.8194789579158317,0.492654593466493,-0.3910912289306482
1,0.0,0.8238476953907816,0.49457413303638026,-0.3932612602581347
1,0.0,0.8282164328657315,0.49649220305772734,-0.39542963464453623
1,0.0,0.8325851703406814,0.49840884750665965,-0.3975963568425136
1,0.0,0.8369539078156313,0.5003241097188946,-0.39976143172930956
1,0.0,0.8413226452905812,0.5022380323974466,-0.4019248643009326
1,0.0,0.8456913827655311,0.5041506576202428,-0.4040866596673337
1,0.0,0.8500601202404809,0.5060620268476586,-0.4062468230471639
1,0.0,0.8544288577154309,0.50797218092997,-0.4084053597628004
1,0.0,0.8587975951903808,0.5098811601147197,-0.4105622752356211
1,0.0,0.8631663326653307,0.5117890040540085,-0.4127175749813595
1,0.0,0.8675350701402806,0.5136957518117005,-0.4148712646055136
1,0.0,0.8719038076152305,0.5156014418705557,-0.41702334979895667
1,0.0,0.8762725450901804,0.5175061121392726,-0.41917383633366395
1,0.0,0.8806412825651303,0.5194097999594667,-0.42132273005856213
1,0.0,0.8850100200400802,0.5213125421125631,-0.42347003689542684
1,0.0,0.88937875751503,0.5232143748266149,-0.4256157628350725
1,0.0,0.89374749498998,0.525115333783044,-0.42775991393331714
1,0.0,0.8981162324649299,0.5270154541233196,-0.4299024963074783
1,0.0,0.9024849699398798,0.5289147704555357,-0.4320435161326518
1,0.0,0.9068537074148297,0.5308133168609542,-0.43418297963833963
1,0.0,0.9112224448897795,0.5327111269004325,-0.4363208931048054
1,0.0,0.9155911823647295,0.5346082336208219,-0.43845726285999986
1,0.0,0.9199599198396794,0.5365046695612588,-0.44059209527627574
1,0.0,0.9243286573146293,0.5384004667594122,-0.44272539676722716
1,0.0,0.9286973947895791,0.5402956567576453,-0.4448571737847503
1,0.0,0.9330661322645291,0.5421902706091194,-0.4469874328159937
1,0.0,0.937434869739479,0.5440843388838209,-0.44911618038068607
1,0.0,0.9418036072144289,0.5459778916745287,-0.451243423028149
1,0.0,0.9461723446893788,0.5478709586027096,-0.4533691673348989
1,0.0,0.9505410821643286,0.5497635688243564,-0.4554934199016931
1,0.0,0.9549098196392786,0.5516557510357454,-0.4576161873513519
1,0.0,0.9592785571142285,0.5535475334791454,-0.45973747632610734
1,0.0,0.9636472945891784,0.5554389439484566,-0.46185729348534477
1,0.0,0.9680160320641283,0.5573300097947855,-0.46397564550312936
1,0.0,0.9723847695390782,0.5592207579319546,-0.4660925390662378
1,0.0,0.9767535070140281,0.5611112148419634,-0.4682079808717965
1,0.0,0.981122244488978,0.5630014065803686,-0.4703219776252953
1,0.0,0.9854909819639279,0.5648913587816239,-0.47243453603850355
1,0.0,0.9898597194388777,0.5667810966643435,-0.47454566282757316
1,0.0,0.9942284569138277,0.5686706450365183,-0.476655364711087
1,0.0,0.9985971943887776,0.5705600283006659,-0.4787636484082973
1,0.0,1.0029659318637274,0.5724492704589285,-0.4808705206371953
1,0.0,1.0073346693386773,0.5743383951181085,-0.48297598811301956
1,0.0,1.0117034068136272,0.5762274254946504,-0.4850800575463742
1,0.0,1.0160721442885772,0.5781163844195659,-0.48718273564182857
1,0.0,1.020440881763527,0.580005294343304,-0.4892840290961303
1,0.0,1.024809619238477,0.5818941773405654,-0.49138394459692536
1,0.0,1.029178356713427,0.5837830551150607,-0.49348248882124646
1,0.0,1.0335470941883769,0.5856719490042214,-0.4955796684339787
1,0.0,1.0379158316633268,0.58756087998385,-0.4976754900866962
1,0.0,1.0422845691382765,0.5894498686727213,-0.49976996041627775
1,0.0,1.0466533066132264,0.5913389353371332,-0.5018630860435839
1,0.0,1.0510220440881763,0.5932280998954009,-0.5039548735724126
1,0.0,1.0553907815631263,0.595117381922306,-0.5060453295881834
1,0.0,1.0597595190380762,0.597006800653491,-0.508134460656815
1,0.0,1.0641282565130261,0.5988963749898049,-0.5102222733237403
